,Predicted,Actual
0,0.8662765481340102,1
1,3.811002286514679,3
2,-0.3779284117692896,0
3,-0.3796083517291322,0
4,-0.7233904024545836,0
5,5.201680820443187,5
6,10.365110101504513,12
7,0.11214165187851677,0
8,0.780470468070007,1
9,10.53602442974534,10
10,0.5057140077819895,0
11,1.071792647142047,1
12,1.896773935933652,1
13,-0.4042655462910716,0
14,9.264680058414342,12
15,-0.4254413685101781,0
16,1.8333698450890665,2
17,6.985582004647426,7
18,-0.018210536705737468,0
19,9.192831515329544,9
20,1.0402780528783637,1
21,0.7081537141730792,1
22,14.887669466791408,15
23,1.0009355191689906,1
24,5.64976696905137,6
25,-0.31551597256952846,0
26,4.55614779605628,4
27,5.781214270724092,6
28,2.622231582483721,3
29,5.282388337241457,5
30,6.550133095130377,8
31,1.4289272025624769,1
32,3.4071594356469745,2
33,5.128126278854211,5
34,0.9487928855382961,0
35,0.8332670230695385,0
36,9.122649137245219,7
37,4.748250583463687,4
38,1.5094213678531787,1
39,8.100441636868538,7
40,0.39518669228300496,1
41,9.315940659857517,11
42,1.0398160492301827,1
43,-0.00982047477236847,0
44,0.8855880044805531,2
45,7.24286542750275,8
46,-0.6561345902591142,0
47,-0.5850984536299961,0
48,2.24463488825279,2
49,5.003163017605345,5
50,1.7920994434331305,2
51,-0.09666659700633318,0
52,0.28441965237243494,0
53,-2.3318819192576257,0
54,2.6419075043413613,2
55,5.045097184744407,7
56,3.345111354200867,3
57,2.1521982857016155,2
58,3.641621657718531,4
59,8.434265286357402,10
60,6.061288832084017,7
61,2.0064964610642733,2
62,3.251487060772604,3
63,0.09461985019862595,0
64,3.4737208658165173,5
65,6.783754773729527,7
66,-0.11452934026590356,0
67,6.641879546689609,7
68,9.73754354073094,11
69,3.471638782854029,3
70,-0.4646268954460311,0
71,-0.1734676597081375,0
72,0.37517997180975726,0
73,0.036911664718275006,0
74,0.6165393227989853,0
75,3.2002727030187543,3
76,2.2592516468328654,2
77,0.2540513934620776,0
78,1.1013582154705546,1
79,-0.07359225985743478,0
80,2.0196206319307635,2
81,1.920908503573287,2
82,0.9807543582397784,1
83,-0.43267063330506517,0
84,6.172137429347117,6
85,9.385840824838397,9
86,0.07504992922798692,0
87,2.916698512771518,3
88,5.0323886393369435,3
89,4.861748708492996,5
90,6.463611385739227,6
91,-0.4024081631774834,0
92,1.891006128542756,1
93,-0.15298323050558338,0
94,3.0005787418652403,3
95,0.5040276784116031,0
96,-0.28963077002816817,0
97,5.638441689357535,3
98,-0.4194295298586894,0
99,0.8276417050835789,1
100,3.0066693381921255,3
101,0.4335853893448416,0
102,6.924863449244185,6
103,1.0126013969297674,1
104,-0.011908238954219996,0
105,7.234379671017791,8
106,11.674526957842545,14
107,0.22922069375664478,0
108,5.419374746307483,7
109,0.7764909897720145,1
110,2.7886045554301404,1
111,5.88730796759387,5
112,3.2348024241078974,3
113,-1.0013878474795774,0
114,0.2213597415326376,0
115,0.8868295332419507,1
116,2.17197900254331,2
117,0.10474501490472221,0
118,5.551595025726783,7
119,3.48099201858696,3
120,3.304816033506654,4
121,3.138371739425338,4
122,-0.18733542874196019,0
123,1.813947958693177,2
124,3.8528657268917073,3
125,1.8849394444694667,1
126,7.313453524997442,8
127,0.6899925227673407,0
128,8.356977593741135,7
129,4.67239759644292,3
130,1.3768097652811662,1
131,0.9910789087992953,1
132,4.979327410580538,4
133,7.530605417569177,6
134,3.927013698164046,1
135,3.4875917679409554,3
136,-0.2667118244945641,0
137,5.00993730341645,6
138,8.154823465570189,8
139,7.365476835648906,6
140,2.9183184882558066,3
141,1.7492432727187293,2
142,8.085003764044359,9
143,5.7344616550322485,6
144,-0.9378757652972922,0
145,4.22103249708988,4
146,2.307336670562222,2
147,12.208305071512598,15
148,2.253508973283317,2
149,18.191200576606377,22
150,1.1191191541180956,1
151,-0.41902960222427055,0
152,8.167818207062908,10
153,8.462649520820719,7
154,3.69698614235773,4
155,2.7425616676446225,3
156,4.960911599341614,6
157,1.0377548077233882,1
158,11.924527601861598,15
159,10.601957362244264,12
160,2.072829564988524,1
161,2.3955580758503743,3
162,5.434445320957423,3
163,3.4302167094047036,3
164,5.445013359634345,6
165,0.015020549703137931,0
166,-0.8515640289391513,0
167,3.9331184752059016,3
168,4.041412328223316,4
169,0.9009508036510283,1
170,0.1449426082222658,0
171,0.22987447281411733,0
172,-0.21084830874769978,0
173,0.3394618592576535,0
174,4.81898612431138,5
175,0.3049097330534778,0
176,-0.8424932676367121,0
177,-0.34484110134843604,0
178,1.0554560939157227,0
179,7.638863068818182,7
180,3.1462142111010962,3
181,10.040900767904418,11
182,2.397073540358292,2
183,2.4368907254423107,2
184,9.97531068572414,11
185,-0.09191841501723275,0
186,-0.054121550172851585,1
187,4.61190140683442,4
188,11.133172079311407,12
189,9.51447925554993,11
190,4.89804012432171,4
191,3.17310607666127,3
192,6.250371394245008,7
193,6.124006396545212,6
194,4.397822560779218,5
195,5.875394643072298,6
196,10.31819419543882,10
197,2.1436108294919336,2
198,-0.04029107336236848,1
